Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
Komulainen,1999,0,116,1,116,0.33,0.01,8.1,0.612520787,0.996735582,0.610521263,0.943882378,0.940801151
Latham,2003,11,121,3,122,3.7,1.06,12.92,-0.722835812,0.996884735,-0.720583987,0.352422425,0.351324536
Lehouck,2012,9,91,6,91,1.5,0.56,4.04,-0.224013872,0.995827538,-0.223079183,0.278507045,0.277344985
Lips,1996,282,1291,306,1287,0.92,0.8,1.06,0.046067187,0.999708823,0.046053774,0.039662372,0.039650823
Lips,2010,1,114,0,112,2.95,0.12,71.6,-0.597682415,0.996648045,-0.59567901,0.900800345,0.897780903
Lyons,2007,947,1725,953,1715,0.99,0.93,1.05,0.005552672,0.999781834,0.00555146,0.017104642,0.017100911
Ooms,1995,11,177,21,171,0.51,0.25,1.02,0.372013565,0.997830803,0.371206594,0.198175807,0.197745925
Prince,2008,0,151,1,151,0.33,0.01,8.12,0.612520787,0.997497915,0.610988208,0.94422995,0.941867406
Sanders,2010,40,1131,47,1127,0.85,0.56,1.28,0.089789464,0.999667516,0.08975961,0.116512371,0.116473632
Sato,2005,1,48,2,48,0.5,0.05,5.33,0.382954243,0.992,0.379890609,0.658062283,0.652797785
Schleithoff,2006,7,61,6,62,1.19,0.42,3.33,-0.0961068,0.99378882,-0.095509863,0.29181318,0.290000675
Smith,2007,355,4727,354,4713,1,0.87,1.15,0,0.999920532,0,0.039325743,0.039322618
Trivedi,2003,224,1346,247,1341,0.9,0.77,1.07,0.05821023,0.999720644,0.058193968,0.046372676,0.046359722
Witham,2010,4,53,2,52,1.96,0.38,10.26,-0.371792527,0.99270073,-0.369078713,0.464516415,0.461125784
Zhu,2008,0,39,2,81,0.41,0.02,8.34,0.492595646,0.993630573,0.489458094,0.850305308,0.844889351
Avenell,2004,4,70,3,64,1.22,0.28,5.24,-0.109862353,0.9943074,-0.109236951,0.412854771,0.410504555
Baeksgaard,1998,0,80,1,80,0.33,0.01,8.06,0.612520787,0.995245642,0.609608644,0.943184652,0.938700414
Bischoff,2003,1,62,4,60,0.24,0.03,2.1,0.788462075,0.993736952,0.783523899,0.598784424,0.595034208
Brazier,2005,3,95,1,97,3.06,0.32,28.93,-0.617908793,0.996047431,-0.615466466,0.634839526,0.632330278
Brohult,1973,1,25,0,25,3,0.13,70.3,-0.606968115,0.984293194,-0.597434585,0.886936609,0.873005667
Campbell,2005,6,195,10,196,0.6,0.22,1.63,0.282224102,0.99807074,0.281679618,0.282262339,0.281717781
Chapuy,1992,893,1634,917,1636,0.98,0.92,1.04,0.011161717,0.999770484,0.011159155,0.017279615,0.017275649
Chapuy,2002,70,389,46,194,0.76,0.55,1.06,0.151622567,0.998708567,0.151426756,0.092471799,0.092352378
Chel,2008,25,166,33,172,0.78,0.49,1.26,0.137271469,0.997766195,0.136964832,0.133112754,0.132815406
Cherniack,2011,1,23,0,23,3,0.13,70.02,-0.606968115,0.982857143,-0.596562948,0.886374132,0.871179147
Corless,1985,8,41,8,41,1,0.42,2.41,0,0.990595611,0,0.246240742,0.243924999
Daly,2008,1,85,0,82,2.9,0.12,70.07,-0.588237976,0.995447648,-0.58556011,0.897755987,0.893669086
Grady,1991,1,50,0,48,2.88,0.12,69.07,-0.584414527,0.992167102,-0.579836868,0.895730074,0.888713911
Harwood,2004,24,113,5,37,1.57,0.65,3.82,-0.249213049,0.994923858,-0.247948009,0.249610066,0.24834301
Krieg,1999,21,124,26,124,0.81,0.48,1.36,0.116420459,0.996948118,0.116065158,0.146782878,0.146334914
Karkkainen,2010,15,1718,13,1714,1.15,0.55,2.41,-0.077216543,0.999781325,-0.077199657,0.208234264,0.208188728
Lappe,2007,4,446,18,733,0.37,0.12,1.07,0.549310648,0.999362651,0.548960546,0.308366527,0.30816999
Larsen,2004,832,4957,839,4648,0.93,0.85,1.01,0.040094305,0.999921897,0.040091174,0.024307879,0.02430598
Law,2006,347,1762,322,1955,1.2,1.04,1.37,-0.100730142,0.999798102,-0.100709805,0.038841756,0.038833914
Meier,2004,0,30,1,25,0.28,0.01,6.58,0.703295953,0.985781991,0.693296485,0.91459084,0.901587179
Moschonis,2006,0,42,1,70,0.55,0.02,13.21,0.330296686,0.993166287,0.328039533,0.915125313,0.90887161
Ott,1989,0,43,1,43,0.33,0.01,7.96,0.612520787,0.991044776,0.607035526,0.941425074,0.932994402
Porthouse,2005,57,1321,68,1993,1.26,0.9,1.79,-0.127686034,0.999773534,-0.127657117,0.096907224,0.096885278
Sato,1997,1,45,1,39,0.87,0.06,13.4,0.076940369,0.990825688,0.076234494,0.76229922,0.755305649
Satoa,1999,1,43,0,43,3,0.13,71.65,-0.606968115,0.991044776,-0.60153258,0.889617485,0.881650762
Satob,1999,0,34,1,35,0.34,0.01,8.13,0.596027437,0.988764045,0.5893305,0.944403415,0.933792141
