Author,Year,arm,n,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g,notes
Krog-Mikkelsen,2011,2000 mg L-Arabinose ,5,-0.16,-0.43,0.11,0.137755102,0.308029772,-0.519430309,0.945454545,0.491097747,0.422820127,
Krog-Mikkelsen,2011,3000 mg L-Arabinose ,5,-0.04,-0.27,0.19,0.117346939,0.262395732,-0.152441504,0.945454545,0.144126513,0.422820127,
Ma,2009,800 mg Sucralose ,3.5,0.28,-0.03,0.59,0.158163265,0.295896375,0.946277223,0.869565217,-0.822849759,0.46480216,
Ma,2009,80 mg Sucralose ,3.5,0,-0.31,0.31,0.158163265,0.295896375,0,0.869565217,0,0.46480216,
Nichol,2020,Lean; Sucralose ,10,0.16,-0.21,0.54,0.191326531,0.605027614,0.26445074,0.914285714,-0.241783534,0.289122529,
Nichol,2020,Obese; Sucralose ,11,0.31,-0.1,0.71,0.206632653,0.68532298,0.452341464,0.923076923,-0.417545967,0.278318164,
Overduin,2016,lean: Erythritol ,10,-0.18,-0.37,0,0.094387755,0.298480289,-0.603054896,0.914285714,0.551364477,0.289122529,
Overduin,2016,Obese: Erythritol ,10,-0.54,-1.08,0.01,0.278061224,0.879306798,-0.614120124,0.914285714,0.561481256,0.289122529,
Parimalavalli,2011,Stevia ,6,-0.31,-11.39,10.77,5.653061224,13.84711548,-0.022387334,0.842105263,0.018852492,0.343788034,
Pepino,2013,Sucralose ,17,0.36,0.05,0.67,0.158163265,0.652123849,0.552042378,0.952380952,-0.525754645,0.23098631,
Prat-Larquemin,2000,Aspartame ,24,0.24,0.02,0.45,0.109693878,0.537388056,0.446604641,0.967032967,-0.431881412,0.197394778,
Slama,1984,Saccharin ,12,-0.19,-0.55,0.18,0.18622449,0.645100556,-0.294527726,0.930232558,0.27397928,0.268535009,
Salomi,2019,Aspartame+ Acesulfame K ,10,-0.02,-0.38,0.34,0.183673469,0.580826509,-0.03443369,0.914285714,0.031482231,0.289122529,
Steinert,2011,Acesulfarne K ,4,-0.17,-0.31,-0.03,0.071428571,0.142857143,-1.19,0.930232558,1.106976744,0.465116279,
