Author,Year,arm,n,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g,notes
Horwitz,1988,Healthy; Aspartame,6,9.1,0,18.2,4.642857143,11.37263095,0.800166649,0.930232558,-0.744341069,0.379765852,
Horwitz,1988,Healthy; Saccharin,6,3.58,-5.34,12.5,4.551020408,11.14767781,0.321143117,0.930232558,-0.298737783,0.379765852,
Horwitz,1988,T2D; Aspartame,5,1.16,-19.51,21.84,10.54846939,23.58709461,0.049179436,0.914285714,-0.044964055,0.408881002,
Horwitz,1988,T2D; Saccharin,5,-2.98,-24.82,18.87,11.14540816,24.92189029,-0.119573594,0.914285714,0.109324429,0.408881002,
Krog-Mikkelsen,2011,1000 mg L-Arabinose,5,-15.74,-36.51,5.04,10.5994898,23.70117971,-0.664101964,0.945454545,0.627878221,0.422820127,
Krog-Mikkelsen,2011,2000 mg L-Arabinose,5,-37.97,-58.97,-16.96,10.71683673,23.96357544,-1.584488095,0.945454545,1.498061472,0.422820127,
Krog-Mikkelsen,2011,3000 mg L-Arabinose,5,-39.53,-60.77,-18.29,10.83673469,24.23167543,-1.631335816,0.945454545,1.542353862,0.422820127,
Ma,2009,800 mg Sucralose,3.5,0,-24.98,24.98,12.74489796,23.8435208,0,0.869565217,0,0.46480216,
Ma,2009,80 mg Sucralose,3.5,0,-24.98,24.98,12.74489796,23.8435208,0,0.869565217,0,0.46480216,
Nichol,2020,Lean; Sucralose,10,-54.74,-171.4,61.92,59.52040816,188.2200571,-0.290829792,0.914285714,0.265901524,0.289122529,
Nichol,2020,Obese; Sucralose,11,93.17,-89.94,276.28,93.42346939,309.8505946,0.300693307,0.923076923,-0.277563053,0.278318164,
Overduin,2016,Lean; Erythritol,10,-44.86,-74.24,-15.49,14.9872449,47.39382973,-0.946536717,0.914285714,0.865404998,0.289122529,
Overduin,2016,Obese; Erythritol,10,-125.84,-210.31,-41.37,43.09693878,136.2844867,-0.923362615,0.914285714,0.844217248,0.289122529,
Pepino,2013,Sucralose,17,81.19,13.22,149.16,34.67857143,142.9834129,0.567828102,0.952380952,-0.540788669,0.23098631,
Prat-Larquemin,2000,Aspartame,24,22.77,8.18,37.37,7.446428571,36.47990081,0.624179329,0.967032967,-0.603601988,0.197394778,
Slama,1984,Saccharin,12,31.46,-24.52,87.44,28.56122449,98.93898389,0.317973753,0.930232558,-0.295789537,0.268535009,
Steinert,2011,Acesulfame K,4,-0.41,-15,14.17,7.441326531,14.88265306,-0.027548852,0.930232558,0.025626839,0.465116279,
Steinert,2011,Aspartame,4,-8.97,-31.57,13.63,11.53061224,23.06122449,-0.388964602,0.930232558,0.361827537,0.465116279,
Steinert,2011,Sucralose,4,-13.31,-36.08,9.47,11.61989796,23.23979592,-0.572724479,0.930232558,0.532766957,0.465116279,
Sylvetsky,2016,68 mg Sucralose,10,11.78,-43.17,66.73,28.03571429,88.65671297,0.132872059,0.973913043,-0.129405831,0.307978346,
Sylvetsky,2016,170 mg Sucralose,10,-6.85,-44.91,31.2,19.41581633,61.39820222,-0.111566785,0.973913043,0.108656347,0.307978346,
Sylvetsky,2016,250 mg Sucralose,10,-17.78,-50.77,15.21,16.83163265,53.22629592,-0.334045413,0.973913043,0.325331185,0.307978346,
Sylvetsky,2016,Sucralose + Acesulfame K; Water,10.33333333,104.18,7.03,201.32,49.56377551,159.3252471,0.653882557,0.974789916,-0.637398123,0.303243017,
Sylvetsky,2016,Sucralose + Acesulfame K; Cola,10.33333333,113.55,16.77,210.33,49.37755102,158.7266192,0.715380952,0.974789916,-0.697346139,0.303243017,
Sylvetsky,2016,Sucralose + Acesulfame K + Aspartame,10.33333333,102.88,13.01,192.75,45.85204082,147.3936894,0.697994605,0.974789916,-0.680398102,0.303243017,
Temizkan,2015,Healthy; Aspartame,4,-75.71,-128.19,-23.23,26.7755102,53.55102041,-1.413791921,0.888888889,1.25670393,0.444444444,
Temizkan,2015,Healthy; Sucralose,4,-37.28,-93.1,18.54,28.47959184,56.95918367,-0.654503762,0.888888889,0.581781122,0.444444444,
Temizkan,2015,T2D; Aspartame,4,-37.52,-125.38,50.35,44.82908163,89.65816327,-0.418478347,0.888888889,0.371980753,0.444444444,
Temizkan,2015,T2D; Sucralose,4,-85.42,-172.54,1.69,44.44642857,88.89285714,-0.960932101,0.888888889,0.854161868,0.444444444,
Wolf-Novak,1990,Aspartame,7,-19.87,-66.13,26.4,23.60459184,62.4518798,-0.318164963,0.869565217,0.276665185,0.328664759,
Wölnerhanssen,2016,Erythritol,20,4.39,-11.82,20.6,8.270408163,36.98638971,0.118692309,0.96,-0.113944617,0.214662526,
Wu,2016,Acesulfame K,3.333333333,13.72,-49.35,76.79,32.17857143,58.7497648,0.23353285,0.914285714,-0.213515748,0.50077491,
Wu,2016,Acesulfame K + Sucralose,3.333333333,-0.49,-64.02,63.05,32.41581633,59.18291274,-0.008279417,0.914285714,0.007569752,0.50077491,
Wu,2016,Sucralose,3.333333333,-5.3,-56.2,45.6,25.96938776,47.41339826,-0.111782749,0.914285714,0.102201371,0.50077491,
