Author,Year,n,design,weight,wmd_neg,lCI_neg,uCI_neg,wmd,lCI,uCI,SE,pooled_sd,d,J,g,se_g
McIvor,1986,16,p,0.54,16,-38.17,70.17,-16,-70.17,38.17,27.6377551,55.2755102,-0.28945911,0.945454545,-0.273670431,0.472727273
Uusitupa,1989,33,p,1.37,-22.04,-54.13,10.05,22.04,-10.05,54.13,16.37244898,47.02627942,0.468674117,0.975609756,0.457243041,0.339663719
Rodriguez,1998,123,p,3.2,-9,-26.8,8.8,9,-8.8,26.8,9.081632653,50.36008924,0.178712948,0.99378882,0.17760293,0.17921384
Maeda,2004,76,p,4.32,-11.6,-24.98,1.78,11.6,-1.78,24.98,6.826530612,29.75615707,0.389835286,0.989830508,0.385870859,0.227082693
Ziai,2005,36,p,0.96,16.8,-22.66,56.26,-16.8,-56.26,22.66,20.13265306,60.39795918,-0.278155094,0.977777778,-0.271973869,0.325925926
Sartore,2009,40,p,2.52,-2,-23.44,19.44,2,-19.44,23.44,10.93877551,34.59144543,0.057817763,0.98013245,0.056669066,0.309945095
Liatis,2009,41,p,3.23,-26.3,-43.94,-8.66,26.3,8.66,43.94,9,28.81405907,0.912748875,0.980645161,0.895082768,0.306302088
Cugnet,2010,53,p,5.11,-2.71,-13.59,8.17,2.71,-8.17,13.59,5.551020408,20.20601928,0.134118451,0.985221675,0.132136405,0.27066121
Bonsu,2012,26,p,1.53,-7.72,-37.63,22.19,7.72,-22.19,37.63,15.26020408,38.9060392,0.198426778,0.968421053,0.192160669,0.379845988
Ma,2013,126,p,5.98,-13.92,-22.3,-5.54,13.92,5.54,22.3,4.275510204,23.99624151,0.580090844,0.993939394,0.576575142,0.177094318
Dehghan,2013,49,p,2.23,-26.7,-50.1,-3.3,26.7,3.3,50.1,11.93877551,41.78571429,0.638974359,0.983957219,0.628723433,0.281130634
Dall Alba,2013,44,p,1.95,19.35,-6.32,45.02,-19.35,-45.02,6.32,13.09693878,43.43763182,-0.445466274,0.982035928,-0.437463886,0.296094973
Aliasgaharzadeh,2015,52,p,2.47,-28.8,-50.58,-7.02,28.8,7.02,50.58,11.1122449,40.06576877,0.718818106,0.984924623,0.707981652,0.273168941
Gargari,2015,60,p,4.03,-17,-31.4,-2.6,17,2.6,31.4,7.346938776,28.45457152,0.597443542,0.987012987,0.589684535,0.254845657
Li,2016,139,p,5.51,-13.54,-23.25,-3.83,13.54,3.83,23.25,4.954081633,29.20388052,0.463637015,0.994515539,0.461094216,0.168707414
Dehghan,2016,49,p,2.43,-27.8,-49.82,-5.82,27.8,5.82,49.82,11.2244898,39.28571429,0.707636364,0.983957219,0.696283909,0.281130634
Chen,2016,77,p,1.76,-35.57,-63.01,-8.13,35.57,8.13,63.01,14,61.42475071,0.579082529,0.989966555,0.573272337,0.225634319
Cai,2018,99,p,7.33,-5.41,-9.63,-1.19,5.41,1.19,9.63,2.153061224,10.71134435,0.505071989,0.992248062,0.501156703,0.199449365
Soltanian,2018,51,p,3.26,-10.2,-27.72,7.32,10.2,-7.32,27.72,8.93877551,31.91781277,0.31957077,0.984615385,0.314654296,0.275747463
Ghavami,2019,46,p,1.43,-25.05,-56.23,6.13,25.05,-6.13,56.23,15.90816327,53.94720635,0.464342858,0.982857143,0.456382695,0.28982876
Abbasalizad-Farhangi,2019,65,p,2.48,-32.55,-54.25,-10.85,32.55,10.85,54.25,11.07142857,44.63035539,0.729324239,0.988047809,0.720607217,0.245104495
Rashid,2019,64,p,5.73,-28.6,-37.69,-19.55,28.6,19.55,37.69,4.62755102,18.51020408,1.545093716,0.987854251,1.526327395,0.246963563
