author,year,n_treat,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Petchey,2013,11,14,0.2,-13.5,13.9,6.989795918,17.34821724,-0.011528562,0.967032967,-0.0111485,0.389628686
Roth,2013,67,65,0.9,-2.9,4.7,1.93877551,11.1361389,-0.080817957,0.994219653,-0.080350802,0.173091296
Toxqui,2013,55,54,-4.1,-11.7,3.5,3.87755102,20.24055872,0.202563578,0.992974239,0.201140415,0.190227371
Wamberg,2013,22,21,-5,-14.6,4.6,4.897959184,16.05468991,0.311435476,0.981595092,0.305703535,0.299464687
Witham,2013,73,69,1.7,-3.2,6.6,2.5,14.88955821,-0.114173972,0.994633274,-0.113561231,0.167001811
Witham,2013,38,36,-0.9,-7.4,5.6,3.316326531,14.25884914,0.063118699,0.989547038,0.062458921,0.230149086
Witham,2013,24,25,2.9,-1.9,7.7,2.448979592,8.569643415,-0.338403812,0.983957219,-0.332974874,0.281189197
Wu,2013,50,50,3,-3.3,9.3,3.214285714,16.07142857,-0.186666667,0.992327366,-0.185234442,0.198465473
Dalbeni,2014,13,13,-2.8,-19.9,14.3,8.724489796,22.24317186,0.125881327,0.968421053,0.121906128,0.379845988
Scragg,2014,149,151,-1,-3.3,1.3,1.173469388,10.16231717,0.098402754,0.997481108,0.098154888,0.115181757
Sollid,2014,242,242,0.6,-2,3.2,1.326530612,14.59183673,-0.041118881,0.998443176,-0.041054866,0.090767561
Strobel,2014,39,36,1.3,-6.4,9,3.928571429,16.99759887,-0.076481391,0.989690722,-0.075692923,0.228742349
Wang,2014,30,30,4,-4.4,12.4,4.285714286,16.59850006,-0.24098563,0.987012987,-0.237855947,0.254845657
Witham,2014,31,30,2.7,-5.2,10.6,4.030612245,15.73792882,-0.171560059,0.987234043,-0.169369931,0.25283871
