topic,meta_analysis,year,outcome,n_studies,has_excl_variant,mu_RE,mu_BC,mu_BC_lCI,mu_BC_uCI,log10BF_effect,log10BF_het,log10BF_bias
Caffeine,shen2019,2019,time_trial_endurance,56,FALSE,0.334599798,0.008309096,-0.00901835,0.151378032,-0.8685183268058312,-0.4417713956392977,2.9095603775661645
Caffeine,southward2018,2018,power_output,31,FALSE,0.23839802,0.002963639,-0.130338607,0.193766006,-0.7730552009201773,-0.48732643860495656,1.5144510864121523
Caffeine,southward2018,2018,trial_time_excl,46,TRUE,0.337829466,0.006942263,-0.023138936,0.146496529,-0.8690976427142956,-0.2925236944508293,3.39776625612645
Caffeine,wang2022,2022,exhaustion_time,12,FALSE,0.392762018,0.073920216,-0.47387565,0.492262066,-0.11780281631881272,-0.29279557036889087,0.7201593034059569
Caffeine,wang2022,2022,trial_time,22,FALSE,0.102398998,0.007204865,-0.001250938,0.121457053,-0.8572968850489565,-0.8079481689589493,0.6501777548207508
Creatine,chilibeck2017,2017,chest_press_strength,21,FALSE,0.334522514,0.0149476,-0.117365055,0.303549133,-0.6763099413233432,-0.22619020025464656,1.5411469696480926
Creatine,chilibeck2017,2017,lean_tissue_mass,21,FALSE,0.481204325,-0.025497323,-0.84872105,0.486686884,-0.3243290568705093,1.473491458967527,1.340944824236884
Creatine,chilibeck2017,2017,leg_press_strength,20,FALSE,0.228772806,0.052805451,-0.047622274,0.342176716,-0.3148889861326784,-0.14613994758378818,0.40210739595882894
Creatine,desai2024,2024,body_fat_mass,7,FALSE,0.651600498,0.248466276,-0.44029429,1.16174523,0.03852109813361457,2.507289902216378,0.13508456961170578
Creatine,desai2024,2024,body_fat_percentage,9,FALSE,0.81095674,0.292236309,-0.788567069,1.662550169,0.05727074759556053,Inf,0.10138802103062734
Creatine,desai2024,2024,lean_body_mass,12,FALSE,0.820402184,0.506004205,-0.048643093,1.018336213,0.4815333205031104,-0.10385417828292137,0.215559878042422
Creatine,devries2014,2014,fat_free_mass,9,FALSE,1.122405473,0.207386848,-1.203935991,1.725967477,0.050609071260064344,Inf,0.7604534735264895
Creatine,devries2014,2014,total_body_mass,9,FALSE,0.664750458,0.476162247,0,0.983054321,0.5794865773067309,0.7475379267141699,-0.11622441603535183
Creatine,doma2022,2022,24h_post_protocol,15,FALSE,0.07129245,-0.005671652,-0.417515076,0.337263783,-0.5538336901448879,2.9909566218093286,-0.33983811292895855
Creatine,fernandezlanda2023,2023,endurance_performance,13,FALSE,0.071599277,0.005580733,-0.032855813,0.139055551,-0.8830116382276109,-0.3179748487987514,-0.2362142824219565
Creatine,kazeminasab2025,2025,leg_press_strength,31,FALSE,0.18856623,0.034149642,-0.047779966,0.27430711,-0.4434875179541543,-0.32015540428022177,0.40840956642824666
Creatine,kazeminasab2025,2025,peak_power,21,FALSE,0.437350126,0.168932363,-0.175192425,0.576923184,0.16313640888885758,-0.030099964993105074,0.6552538546578436
Creatine,kazeminasab2025,2025,squat_strength,25,FALSE,0.444181585,-0.024485425,-0.422059766,0.189008945,-0.5776099947092849,0.061913436639020256,1.8948212784033858
Creatine,kazeminasab2025,2025,vertical_jump,35,FALSE,0.302259546,0.036168806,-0.493250724,0.472495564,-0.24825725317318903,Inf,0.2785375218179401
Creatine,lanhers2015,2015,leg_press_strength,16,FALSE,0.296683761,0.088011002,-0.066475307,0.429900674,-0.17656179594252955,-0.33231884283091145,0.4103468191810201
Creatine,lanhers2015,2015,squat_strength,11,FALSE,0.328402394,0.068603742,-0.256429739,0.505294376,-0.25592119016095,-0.28246398187913174,0.343798079731118
Creatine,lanhers2017,2017,chest_strength_excl,45,TRUE,0.248420874,0.009606103,-0.07307411,0.224752668,-0.7783539551218442,-0.169766908703409,1.4520459503622731
Diet,ajala2013,2013,hba1c,16,FALSE,0.307302939306926,0.0611033363441078,-0.132453805206402,0.433662680688182,-0.3248467890810408,Inf,0.5829325362200701
Diet,brandmiller2003,2003,glycemic_control,14,FALSE,0.554451894516147,0.116972554387995,-0.322238728952279,0.651079144113605,-0.15032449583553606,0.38188112404372027,0.8092914048485743
Diet,bueno2013,2013,body_weight,13,FALSE,0.158880319257933,0.0686286345172506,0,0.243911249786603,-0.053293909082044816,-0.3500485271865719,0.14181939344974334
Diet,bueno2013,2013,hdl_cholesterol,12,FALSE,0.383558410788369,0.219605943672125,0,0.459253854880998,0.4745771178735793,0.0194248869467589,0.5927821469525577
Diet,bueno2013,2013,ldl_cholesterol,12,FALSE,0.0321251768764375,2.7837609554802e-4,0,0,-1.564753513700241,-1.9742264994724759,1.2024248132429782
Diet,bueno2013,2013,triglycerides,12,FALSE,0.238097136808037,0.0271883984420161,-0.124135446568179,0.27231459545349,-0.4766118318998298,-0.3938078558333705,0.9650624171818741
Diet,cowell2021,2021,diastolic_blood_pressure,20,FALSE,0.147484422239872,0.0232792867613181,-8.3276000803134e-4,0.216655531026253,-0.5748320999286457,1.614459707785218,0.2449842593782231
Diet,cowell2021,2021,systolic_blood_pressure,20,FALSE,0.126968764433647,0.0339499022439568,0,0.157467187687691,-0.2689598560286627,-0.2348319135755283,0.6257356830844419
Diet,firth2019,2019,anxiety,11,FALSE,0.0993908867474907,0.00276213142477884,-0.00415555608806858,0.0810731572638139,-1.0146470581220453,-0.16698985410064301,0.5692550468383004
Diet,firth2019,2019,depression,16,FALSE,0.268988832609307,0.0727368371842959,-0.0387970759315677,0.424683466895905,-0.2816161595323157,Inf,0.2628633837446601
Diet,greyling2020,2020,nns_postprandial_glucose,55,FALSE,0.0198688728131309,-0.0204368133912768,-0.277668192419594,0.0182660286881571,-0.7479014585484887,2.430188406251052,-0.2395816993206173
Diet,greyling2020,2020,nns_postprandial_insulin,50,FALSE,0.0277377398115965,-9.3486228633356e-4,-0.0226562015378068,0.025294328027176,-1.1359485408533034,1.0589306412061623,0.1678190083319781
Diet,huang2015,2015,body_weight,13,FALSE,0.589593278824291,0.028846778195293,-0.958680054109616,0.753895098760256,-0.15078986894002566,Inf,0.9242015321485231
Diet,laviadamolina2020,2020,nns_body_weight,20,FALSE,0.540215058708963,0.22393984702079,-0.167742331090296,0.704588334039092,0.1285078559122487,2.689482966920172,0.42989014478021864
Diet,li2025,2025,nns_body_weight,19,FALSE,0.159321970851058,0.0184468734105965,-0.0807207722518233,0.25998074249792,-0.6173677367286099,Inf,0.012056789121905293
Diet,ndanuko2016,2016,diastolic_blood_pressure,18,FALSE,0.280165153770955,0.0324405971587896,-0.135431395178897,0.315765381057734,-0.44854298814934307,Inf,1.2191218617821364
Diet,ndanuko2016,2016,systolic_blood_pressure,18,FALSE,0.311281056890467,-1.6755663116914e-4,-0.394484778696172,0.300788579303315,-0.4979398723372395,Inf,1.6585354296153232
Diet,riosleyvraz2020,2020,nns_body_mass_index,23,FALSE,0.224244200312708,-0.0068389998066051,-0.428689727884419,0.314563308364361,-0.46896005447502775,Inf,0.5206047993981161
Diet,riosleyvraz2020,2020,nns_body_weight,29,FALSE,0.327975570956534,0.0999278424012887,-0.0925870519137661,0.492063517561118,-0.16004384879455136,Inf,0.31319106190449036
Diet,rogers2020,2020,nns_body_weight,29,FALSE,0.33699882084568,0.0590309626482207,-0.0229322210715928,0.39343459920968,-0.376697851073292,1.6070191140531862,0.9749992760451901
Diet,rogers2020,2020,nns_energy_intake,22,FALSE,0.363847211262329,0.0440884902722325,-0.0165468527761624,0.318680650761048,-0.3924523234387177,-0.10773295322218288,1.653603353963788
Diet,saneei2014,2014,diastolic_blood_pressure,22,FALSE,0.616824817459404,0.496336395767568,0,0.748387808588994,1.1052994679012078,4.698961318359521,0.18116400381924957
Diet,saneei2014,2014,systolic_blood_pressure,22,FALSE,0.752010408833131,0.573607897276501,0,0.901898785696177,0.9625085518428965,4.698961318359521,0.24682683056114021
Diet,shannon2020,2020,endothelial_function,18,FALSE,0.337091488820962,0.203657192177823,0,0.479916536522385,0.3242892406018667,Inf,0.03817298473042624
Diet,zare2024,2024,nns_blood_glucose,31,FALSE,0.189357376931054,0.0199958414083596,-0.115715898114724,0.276985395879298,-0.5760887364678946,Inf,0.31821254080917977
Diet,zare2024,2024,nns_insulin_concentration,15,FALSE,0.019146210149754,4.3290533930055e-4,-0.0195162935199546,0.0418300922519908,-1.1037568740240413,0.6704145438829658,-0.29497257417170003
Fasting,dai2025,2025,fat_mass,10,FALSE,0.342533148,0.193583708,0,0.529693857,0.24404500002063748,-0.1689009683565532,0.011848288368895302
Fasting,fernando2019,2019,bmi,23,FALSE,0.257999963,0.174745881,0,0.35868043,0.43531426525545003,3.420051340055235,-0.09684747530546572
Fasting,gu2022,2022,bmi,10,FALSE,0.233662532,0.049082195,0,0.316120299,-0.38633233871046896,-0.29174721031164486,0.6200347274587906
Fasting,gu2022,2022,fat_free_mass,15,FALSE,0.075514996,0.010088908,0,0.147436991,-0.8474056347842276,-0.25569411891399557,-0.46955688583459654
Fasting,gu2022,2022,fat_mass,17,FALSE,0.140030797,0.035999371,0,0.232164025,-0.43081401080886295,-0.29902509526960724,-0.20690261836032114
Fasting,gu2022,2022,total_cholesterol,19,FALSE,0.095849674,0.018336837,0,0.18647457,-0.6560156063317714,0.14621142151939578,-0.32420961186039815
Fasting,gu2022,2022,triglycerides,19,FALSE,0.225522751,0.089005071,0,0.320226713,-0.05615420726982397,-0.24096811665986592,0.2592934283371793
Fasting,jahrami2020,2020,body_weight,85,FALSE,0.35430402,0.083401739,0,0.250764237,-0.0939192516994695,-0.4112096955382524,Inf
Fasting,khalafi2025,2025,alanine_aminotransferase,20,FALSE,0.427617165,0.39236445,0,0.557170391,1.3836164221621856,-0.26766222353965324,-0.33822566464254133
Fasting,khalafi2025,2025,aspartate_aminotransferase,18,FALSE,0.303475928,0.224337811,0,0.453958455,0.5110971635397938,0.4443802697193751,-0.1718248577486371
Fasting,kordvarkaneh2020,2020,diastolic_blood_pressure,23,FALSE,0.252365352,0.051240072,-0.051926513,0.36097081600000003,-0.3704613143249069,Inf,0.5668700588713561
Fasting,kordvarkaneh2020,2020,systolic_blood_pressure,23,FALSE,0.188864533,0.046013089,0,0.237237898,-0.31492850070271755,Inf,0.8809787396972137
Fasting,meng2020,2020,hdl_cholesterol_excl,34,TRUE,0.017357893,2.11544e-4,-0.066266817,0.07863975,-0.9671340114564719,Inf,-0.779135000153816
Fasting,meng2020,2020,ldl_cholesterol,34,FALSE,0.451985712,0.016127331,-0.404264984,0.467133486,-0.4340325909690286,4.698961318359521,1.2820563760589563
Fasting,meng2020,2020,total_cholesterol,33,FALSE,0.481334375,0.224430247,-0.042754155,0.655417222,0.12886297360581914,Inf,0.2207743474663092
Fasting,meng2020,2020,triglycerides,33,FALSE,0.255410137,0.059502213,-0.089583064,0.352323588,-0.28346662535770883,2.3626360368603776,0.5527657351731898
Fasting,vieira2016,2016,fat_oxidation,13,FALSE,0.528762572,0.416886212,0,0.681360468,0.7737319596132451,-0.3314496817796089,-0.1636817631356018
Fasting,vieira2016,2016,serum_glucose,24,FALSE,0.536494064,0.163794131,-0.608389178,0.828553864,0.028917319858742633,Inf,0.2930675013648925
Fasting,vieira2016,2016,serum_insulin,17,FALSE,1.013955266,0.377936262,-0.564983006,1.210514871,0.2095138907371843,Inf,0.6489581146117382
Fasting,wang2020,2020,c_reactive_protein_excl,16,TRUE,0.141322262,0.032420699,0,0.259823058,-0.5111453921691074,0.9755009692008655,-0.3968218826016589
Fasting,xie2024,2024,body_fat_excl,17,TRUE,0.36017852,0.096561718,-0.265032701,0.441712532,-0.080872690197173,0.5505328900111203,0.6299007540195125
Fasting,xie2024,2024,lean_mass,15,FALSE,0.323824234,0.105788411,-0.087216702,0.484093625,-0.12346972705799254,1.287611788212913,0.29606241469278416
Fasting,yang2021,2021,blood_glucose,34,FALSE,0.093925925,0.009165682,0,0.124444089,-0.8162803491858495,0.42681706891624993,0.19909057679933764
Fasting,yang2021,2021,body_weight,45,FALSE,0.237118696,0.028321135,-0.014819533,0.253896267,-0.5571997943835725,0.7210647252299281,1.1240524687855808
Fasting,yang2021,2021,triglycerides,34,FALSE,0.134334432,-1.14772e-4,-0.104624954,0.115132115,-0.8440665778586199,-0.34602646938225057,1.2315722244657574
Fiber,chiavaroli2015,2015,creatinine,12,FALSE,0.301270928164954,0.050850540114904,-0.33094609433998,0.45131055500417,-0.26709010680316353,0.03824260639014289,0.3540848844914425
Fiber,chiavaroli2015,2015,urea,13,FALSE,0.57350022154059,-0.0208456041294088,-0.882773028107784,0.667241180132885,-0.22656177445000997,2.9742335384252176,1.237246487429495
Fiber,gupta2025,2025,hdl_cholesterol,34,FALSE,0.315646733454221,0.150002251245366,0,0.499028786590439,0.06289128635272086,Inf,-0.036119362448279076
Fiber,gupta2025,2025,ldl_cholesterol,31,FALSE,0.389641538015249,0.332191497989781,0,0.53547673026179,0.9282358519271366,Inf,-0.4210053127407313
Fiber,gupta2025,2025,total_cholesterol_excl,35,TRUE,0.363261403568937,0.287268829510753,0,0.46934656538314,0.7423212551081484,1.8120850882271615,-0.21080250345868204
Fiber,gupta2025,2025,triglycerides_excl,35,TRUE,0.338584376636502,0.123886284554205,-0.0619818036766914,0.576917871199722,-0.11500848006331574,Inf,-0.09009912620291946
Fiber,jovanovski2019,2019,fasting_glucose,27,FALSE,0.522250328337243,0.274820326319808,-0.0569928493491455,0.848439293238375,0.19539738411843127,Inf,-0.023527141289554663
Fiber,jovanovski2019,2019,hba1c,19,FALSE,0.651671193546503,0.48819801073464,0,0.985260165694558,0.6537329004421584,Inf,-0.20657187481295378
Fiber,jovanovski2019,2019,homa_ir_excl,9,TRUE,0.361060347230138,0.156101789885869,-0.014432007103626,0.516482624384635,0.0673635209376865,0.0957571305316437,0.2730895089542723
Fiber,khan2018,2018,diastolic_bp,23,FALSE,0.0805292829642001,-0.00746680533800536,-0.254678904952077,0.127531683576963,-0.7290753365307144,1.9826663455598341,-0.06988070511332287
Fiber,khan2018,2018,systolic_bp,24,FALSE,0.194025448069337,0.0475943174903703,0,0.251872933325663,-0.2385333100558158,0.6358535165110717,0.6834173661980091
Fiber,post2012,2012,fasting_glucose,13,FALSE,0.450819410288206,0.389259193321577,0,0.639873754226042,0.9730971027335875,-0.2997668104754923,-0.34472942672600015
Fiber,post2012,2012,hba1c,10,FALSE,0.296287277471685,0.0976993915232207,-0.0180919841761275,0.44925572284937,-0.14103459103399205,-0.11472564217648011,0.32405036946208826
Fiber,silva2013,2013,fasting_glucose,10,FALSE,0.413960879529074,0.123821759345746,-0.340728844333509,0.934652362735913,-0.20690261826090195,Inf,-0.16133791630174607
Fiber,silva2013,2013,hba1c,13,FALSE,0.378757443442543,0.124003683686034,-0.163621268721368,0.764885038359586,-0.19905397614932993,Inf,-0.2393569872477538
Fiber,so2018,2018,bifidobacterium,50,FALSE,0.419170030199584,0.0761609877347772,-0.149753042516412,0.498229341658438,-0.3157981253967545,Inf,0.8199201282827181
Fiber,so2018,2018,lactobacillus,23,FALSE,0.162281291292931,0.0371604225581496,0,0.248679583277434,-0.41639833890301603,1.1743155684172737,0.11112155765244475
Fiber,streppel2005,2005,diastolic_bp,24,FALSE,0.146212109131678,0.0017576006157673,-0.0231803353845609,0.0712469552939372,-1.0308865611680107,-0.4210053127407313,1.6137101619543703
Fiber,streppel2005,2005,systolic_bp,25,FALSE,0.107238893686878,0.0130959441729056,0,0.145688758141696,-0.6821970122653487,0.4469741570873824,0.19810259989913157
Fiber,thompson2017,2017,body_weight_excl,9,TRUE,0.496519025796116,0.0844895874707985,-0.655315984544046,0.74238618265873,-0.1369002833865418,4.2218226911656815,0.5399635668639731
Fiber,whelton2005,2005,diastolic_bp,25,FALSE,0.218732478523572,0.0959549932735767,0,0.336195868202938,-0.015462516741690907,2.9131100065922646,0.06411382243145333
Fiber,whelton2005,2005,systolic_bp,25,FALSE,0.124179839902913,0.018669562753697,0,0.213511637680657,-0.6694569437165829,4.698961318359521,-0.400143410722215
Omega-3,abdelhamid2018,2018,all_cause_mortality,45,FALSE,0.018814285,2.9666e-4,0,0,-1.6022469866682976,-0.6537329011008212,0.5252534899687293
Omega-3,abdelhamid2018,2018,cardiovascular_events,43,FALSE,0.020655015999999998,7.40016e-4,0,0.014451666,-1.394681257095063,1.0867170735323015,-0.4058753361077454
Omega-3,abdelhamid2018,2018,coronary_heart_disease_events,32,FALSE,0.053795832,0.008344725,0,0.075140047,-0.7004935533281577,1.7636666193110102,-0.04938901228442544
Omega-3,abdelhamid2018,2018,stroke,31,FALSE,0.018339081,5.15e-5,0,0,-1.6266232010989292,-0.7657133308782642,-0.2977768386940718
Omega-3,abdelhamid2018,2018,triglycerides,23,FALSE,0.259749521,0.091757055,0,0.320727509,-0.06984573611735623,1.552798600816148,0.6295057001828948
Omega-3,bloch2012,2012,depression_excl,12,TRUE,0.161991361,-0.012944622,-0.439516894,0.255718942,-0.569047358203207,1.3132410317576582,0.2326299924079155
Omega-3,brown2019,2019,fasting_glucose,34,FALSE,0.007753056,0.007119913,0,0.048055823,-0.5309170869223873,0.3560062130546126,-0.45033924053422014
Omega-3,goldberg2007,2007,pain_assessment,13,FALSE,0.253390048,0.081519059,-0.072256754,0.399042742,-0.16090648222465875,0.4724089020496511,0.1361524936489296
Omega-3,goldberg2007,2007,painful_tender_joints,10,FALSE,0.288520568,0.063456584,-0.303574057,0.413834195,-0.17696002215791598,-0.26476580688754114,0.47434620070200945
Omega-3,grosso2014,2014,depression_diagnosis,12,FALSE,0.525394577,0.104888026,-0.434789571,0.69295814,-0.11971426130889735,1.2601007109403455,0.7746047323727691
Omega-3,hu2019,2019,cardiovascular_disease_death,11,FALSE,0.034579185,0.003857896,0,0.046874312,-0.8842008824120552,-0.7480365381610319,0.20638815373023833
Omega-3,hu2019,2019,coronary_heart_disease_death,12,FALSE,0.058002545,0.002306998,0,0.045385889,-1.1188687403690714,-0.5479528466108102,0.8108623635228176
Omega-3,hu2019,2019,myocardial_infarction,12,FALSE,0.05226417,0.003471621,0,0.053398226,-1.0009945953257955,-0.5440233755514161,0.319441343709204
Omega-3,khorshidi2022,2022,triglycerides,14,FALSE,0.345317927,0.168028191,0,0.571864238,0.06834228945735482,Inf,-0.1176612733879199
Omega-3,kotwal2012,2012,cardiovascular_outcomes,12,FALSE,0.021318026,4.76534e-4,0,0.00372033,-1.5099490636408563,-0.45371679392104686,0.13675783182819856
Omega-3,liao2019,2019,depression,32,FALSE,0.271295073,0.106932328,-0.015903867,0.429518689,-0.07061510284692803,Inf,0.06746838062328388
Omega-3,rizos2012,2012,all_cause_mortality,17,FALSE,0.022115923,0.00104795,0,0.021645553,-1.2864955714650066,-0.7084403217187635,0.2119446064896218
Omega-3,serra2021,2021,preterm_birth,31,FALSE,0.062812562,0.001653429,0,0.038293107,-1.2222048867859405,-0.9240188553974238,1.423787006017116
Omega-3,su2018,2018,anxiety,19,FALSE,0.364815558,0.139281302,-0.052696587,0.601970321,-0.06946109415462548,Inf,0.06935619664369116
Omega-3,wang2012,2012,endothelium_independent_vasodilation,12,FALSE,0.134981674,-0.014354601,-0.378986298,0.19539012,-0.6138824285973207,0.49344238878503127,0.09839558385599945
Omega-3,wang2012,2012,flow_mediated_dilation,16,FALSE,0.523942059,0.248683925,-0.095836548,0.873726634,0.11493776825637926,Inf,0.012856055389988442
Protein,cermak2012,2012,lean_body_mass,22,FALSE,0.419594148152671,0.142229969108927,-0.0133230657786501,0.50694981980614,-0.004620936882314261,-0.1853400191958834,0.6956846047678127
Protein,cermak2012,2012,leg_press_strength,13,FALSE,0.440871718602411,0.146814712692723,-0.167344696776415,0.576174273787919,-0.017200309454843767,-0.2215893504065948,0.5340865022096174
Protein,finger2015,2015,lean_body_mass,10,FALSE,0.223742756515028,0.0212132845117684,-0.104033691160616,0.286862838755284,-0.5814003789854326,-0.34481044901785,0.8443837560353245
Protein,finger2015,2015,muscle_mass,10,FALSE,0.124253227305921,0.018447529221529,0,0.21749789054353,-0.6904167918750634,-0.3695496578834219,-0.29656871723994216
Protein,liao2017,2017,lean_body_mass_excl,15,TRUE,0.435898672999353,0.0208160179031808,-0.396091423083861,0.475182798276746,-0.4397917773835706,0.27938346978245804,1.1855193942674263
Protein,liao2017,2017,leg_strength,14,FALSE,0.645948900031359,-0.0187249732983553,-0.509465583883627,0.243933512394165,-0.5848919661909491,-0.05284055477274616,2.4072383330720415
Protein,milne2006,2006,complications,10,FALSE,0.187821570377806,0.0230659771856784,-0.0422701715083833,0.260990609591,-0.5911224484225136,-0.23367460616499783,0.4721785566953915
Protein,milne2006,2006,mortality,9,FALSE,0.248469492665749,0.074253699438264,0,0.357271839174764,-0.21235004154870635,-0.24487151881129357,0.3124809843466444
Protein,morton2018,2018,lean_body_mass,26,FALSE,0.19611533142457999,0.00403775080296301,-0.137795644805888,0.188594007563184,-0.7266550045452271,-0.46046454801917996,1.339074628855671
Protein,morton2018,2018,muscle_fiber_size,11,FALSE,0.443991601141119,0.190327201170094,-0.0786856296687395,0.696950678039233,0.05884120341890898,1.1464538624486438,0.2042583105331297
Protein,morton2018,2018,muscle_strength,28,FALSE,0.195065486519689,0.0298065556775989,-0.0530470472872676,0.247181914845168,-0.4668514265060209,-0.0857115380758001,0.7935143937688761
Protein,nunes2022,2022,bench_press_strength_excl,47,TRUE,0.119868552059839,0.00106617625940598,-0.0798883714383234,0.122154845900549,-0.8264982046040145,-0.4374395152355266,0.9368802699634747
Protein,nunes2022,2022,lean_body_mass_excl,91,TRUE,0.186293739249912,-0.00657618074360542,-0.111577268387772,0,-0.9738971974357937,-0.34129459063980216,5.0791776269118625
Protein,nunes2022,2022,leg_strength,34,FALSE,0.346399459636912,0.0692473686794738,-0.211935376867109,0.405167871753917,-0.23688720885201972,-0.3223398277285807,0.7610050315810366
Protein,orsso2024,2024,body_weight,14,FALSE,0.348444938340338,0.111630126831484,-0.0964397966251884,0.564156507553829,-0.15369144397322204,Inf,0.16198521534394109
Protein,schoenfeld2017,2017,muscle_size,23,FALSE,0.39180146959795,0.120859820534683,-0.270245757001154,0.510305644870249,-0.048657071120909556,0.19989596962858158,0.4059611363511986
Protein,schoenfeld2017,2017,muscle_strength,20,FALSE,0.285149867878496,0.0701351415123965,-0.287948927241069,0.3933510291372,-0.13423052216903358,-0.30803236858200667,0.4736538152871247
Protein,wycherley2010,2010,body_weight,23,FALSE,0.236400092355902,0.033687853770216,-0.138264312412606,0.349778913543437,-0.45543290320382157,3.207338964417049,0.4001434107222146
Protein,wycherley2010,2010,fat_mass,18,FALSE,0.306103102458632,0.166153824838453,0,0.412597253456521,0.2873684680286091,-0.37757387991897784,0.34501302970869746
Protein,wycherley2010,2010,lean_body_mass,17,FALSE,0.231023684120317,0.100666730105197,0,0.335225511893706,0.04545127036539081,-0.09649571799853662,0.33649475491607
Protein,wycherley2010,2010,triglycerides,13,FALSE,0.354657907307783,0.0463044658236123,-0.138096329434454,0.41443629186589,-0.424496883294892,-0.3634365051090851,0.980239950579389
Vitamin D,autier2007,2007,total_mortality,18,FALSE,0.0344775242861093,0.00679746739627342,0,0.0591513808395513,-0.6852521300950729,-0.8398802770964912,-0.42480300055802667
Vitamin D,bergman2013,2013,respiratory_tract_infection,11,FALSE,0.230375942759579,-0.00245706731456059,-0.106352404836434,0.044665971140539,-0.9241101853008105,-0.252178834241857,2.288500739387267
Vitamin D,beveridge2015,2015,systolic_blood_pressure,46,FALSE,0.00868065768528744,-1.2524141428779e-4,0,0,-1.4892148166373054,-0.5651637055564904,-0.37394929952554
Vitamin D,bischoffferrari2005,2005,nonvertebral_fracture,5,FALSE,0.177211741105504,0.0604326584923697,0,0.209915491471904,-0.05465414702542691,-0.26050777168036454,0.5991884870182943
Vitamin D,bischoffferrari2009,2009,falls,7,FALSE,0.133132926930838,0.00930447176853487,0,0.113448914858081,-0.812062083302196,-0.5889331121331934,1.265407954396722
Vitamin D,bjelakovic2014,2014,all_cause_mortality,56,FALSE,0.0201130434838997,0.00114097276827626,0,0.0199655594488975,-1.1556167738225143,-1.1050420436425026,-0.31374362203511647
Vitamin D,chen2024,2024,fasting_blood_glucose,30,FALSE,0.318636758426412,0.0794061943266227,-0.0893664108166174,0.442878127855549,-0.24750423636792274,Inf,0.5411642839729103
Vitamin D,chen2024,2024,fasting_insulin,18,FALSE,0.389693638010982,0.0898522176292176,-0.169059080288243,0.561030825739475,-0.23184696318879436,2.6009728956867484,0.5507356098827992
Vitamin D,chen2024,2024,hba1c,36,FALSE,0.31446564669339,0.228405497664243,0,0.433323250975212,0.5437721596771877,Inf,-0.20885152811095503
Vitamin D,chen2024,2024,homa_ir_excl,15,TRUE,0.192887484117218,0.0565471837121768,0,0.283523146666679,-0.256640473564453,0.663621232064455,0.3169453771645527
Vitamin D,jolliffe2021,2021,acute_respiratory_infections,37,FALSE,0.0508956750061639,3.91097498801207e-5,0,0,-1.8063123176262312,-1.7977902511008799,2.2221576009445547
Vitamin D,juraschek2012,2012,diastolic_blood_pressure,29,FALSE,0.193234316772055,0.0486690703247156,-0.00936340802296726,0.329040570980008,-0.3825517934427904,Inf,-0.18683089328172278
